Iteration,Epoch,Recon_Loss,CE_Loss,Accuracy,MSE,Val_Loss,Val_Acc,Test_Acc,Test_AUC
1,835.6897993087769,0.7916269812267274,0.14140625,"tensor(0.1699, device='cuda:0', grad_fn=<DivBackward0>)",0.7878043316304684,0.128125,0.1375,0.5082081686429513
2,710.2110660076141,0.7776263481937349,0.14140625,"tensor(0.1446, device='cuda:0', grad_fn=<DivBackward0>)",0.7721931971609592,0.128125,0.1375,0.5034321475625823
3,571.7681493759155,0.7598258289508522,0.14140625,"tensor(0.1166, device='cuda:0', grad_fn=<DivBackward0>)",0.7466872604563832,0.128125,0.1375,0.46630434782608704
4,439.0677716732025,0.7128563178703189,0.29453125,"tensor(0.0896, device='cuda:0', grad_fn=<DivBackward0>)",0.6714860387146473,0.871875,0.86125,0.46602108036890644
5,302.64933890104294,0.6277822428382933,0.858203125,"tensor(0.0619, device='cuda:0', grad_fn=<DivBackward0>)",0.5778199899941683,0.871875,0.8625,0.5286956521739131
6,187.8304659128189,0.5469155296450481,0.85859375,"tensor(0.0387, device='cuda:0', grad_fn=<DivBackward0>)",0.5032877544872463,0.871875,0.8625,0.4722924901185771
7,113.9110780954361,0.486792070325464,0.85859375,"tensor(0.0237, device='cuda:0', grad_fn=<DivBackward0>)",0.44924771320074797,0.871875,0.8625,0.44754940711462443
8,74.39184401929379,0.4437020622426644,0.85859375,"tensor(0.0156, device='cuda:0', grad_fn=<DivBackward0>)",0.41146617382764816,0.871875,0.8625,0.48886034255599475
9,55.01077499985695,0.4206631111446768,0.85859375,"tensor(0.0116, device='cuda:0', grad_fn=<DivBackward0>)",0.3946931753307581,0.871875,0.8625,0.48877470355731223
10,46.19702135026455,0.4119655570248142,0.85859375,"tensor(0.0098, device='cuda:0', grad_fn=<DivBackward0>)",0.38822127180173993,0.871875,0.8625,0.46618577075098816
11,42.54295167326927,0.40901407512137666,0.85859375,"tensor(0.0090, device='cuda:0', grad_fn=<DivBackward0>)",0.38559364899992943,0.871875,0.8625,0.47320158102766796
12,41.02821682393551,0.40819798660231754,0.85859375,"tensor(0.0087, device='cuda:0', grad_fn=<DivBackward0>)",0.3845863319002092,0.871875,0.8625,0.4766666666666667
13,40.35632152855396,0.40793219301849604,0.85859375,"tensor(0.0086, device='cuda:0', grad_fn=<DivBackward0>)",0.38420453388243914,0.871875,0.8625,0.4346772068511199
14,40.01671703159809,0.4078094928408973,0.85859375,"tensor(0.0085, device='cuda:0', grad_fn=<DivBackward0>)",0.38394134026020765,0.871875,0.8625,0.4608036890645587
15,39.83268865942955,0.407794356928207,0.85859375,"tensor(0.0085, device='cuda:0', grad_fn=<DivBackward0>)",0.3838543794117868,0.871875,0.8625,0.42596837944664034
16,39.72600682079792,0.40779730619397014,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.38388330210000277,0.871875,0.8625,0.41882740447957845
17,39.68302220106125,0.4077423254493624,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.3838794017210603,0.871875,0.8625,0.44296442687747034
18,39.66800211369991,0.4077482737484388,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.383842796087265,0.871875,0.8625,0.45526350461133064
19,39.680582493543625,0.40774039016105235,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.383881782181561,0.871875,0.8625,0.46105401844532273
20,39.70635661482811,0.4077484670560807,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.383822288364172,0.871875,0.8625,0.4998418972332016
21,39.741419702768326,0.4077675283770077,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.38385918783023953,0.871875,0.8625,0.4566600790513834
22,39.776462480425835,0.4077638874296099,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.38381604524329305,0.871875,0.8625,0.41638998682476946
23,39.81173375248909,0.4077429120079614,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.3838606351055205,0.871875,0.8625,0.48907773386034253
24,39.851728677749634,0.40777909115422517,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.38371937768533826,0.871875,0.8625,0.444703557312253
25,39.88378927111626,0.4078446307685226,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.38380216155201197,0.871875,0.8625,0.4227140974967062
26,39.904605105519295,0.4077840036479756,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.3838330740109086,0.871875,0.8625,0.47557971014492756
27,39.92042016983032,0.4078075315337628,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.383732947986573,0.871875,0.8625,0.4755006587615283
28,39.93826039135456,0.407786158262752,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.38384735956788063,0.871875,0.8625,0.5039064558629776
29,39.94813574850559,0.4078316721133888,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.3838433953933418,0.871875,0.8625,0.4540513833992095
30,39.956801533699036,0.40777451370377094,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.3838049592450261,0.871875,0.8625,0.45824769433465085
31,39.964413210749626,0.4078116961172782,0.85859375,"tensor(0.0084, device='cuda:0', grad_fn=<DivBackward0>)",0.38379969354718924,0.871875,0.8625,0.49094202898550726
