Iteration,Epoch,Recon_Loss,CE_Loss,Accuracy,MSE,Val_Loss,Val_Acc,Test_Acc,Test_AUC
1,1502.97318649292,0.5540512036532164,0.85859375,"tensor(0.3038, device='cuda:0', grad_fn=<DivBackward0>)",0.5369196115061641,0.871875,0.8625,0.5285507246376812
2,1481.5479822158813,0.5411917370511219,0.85859375,"tensor(0.2995, device='cuda:0', grad_fn=<DivBackward0>)",0.5269687958061695,0.871875,0.8625,0.5071805006587615
3,1460.4835772514343,0.5287015272770077,0.85859375,"tensor(0.2953, device='cuda:0', grad_fn=<DivBackward0>)",0.5136032197624445,0.871875,0.8625,0.5204216073781291
4,1439.7574949264526,0.5178807314950973,0.85859375,"tensor(0.2912, device='cuda:0', grad_fn=<DivBackward0>)",0.5049960007891059,0.871875,0.8625,0.48616600790513836
5,1419.3558220863342,0.506766794831492,0.85859375,"tensor(0.2871, device='cuda:0', grad_fn=<DivBackward0>)",0.4903656798414886,0.871875,0.8625,0.5062845849802371
6,1399.2660202980042,0.4969141382025555,0.85859375,"tensor(0.2831, device='cuda:0', grad_fn=<DivBackward0>)",0.47683410020545125,0.871875,0.8625,0.5525164690382082
7,1379.4766697883606,0.4860616767546162,0.85859375,"tensor(0.2791, device='cuda:0', grad_fn=<DivBackward0>)",0.4707032716833055,0.871875,0.8625,0.45317523056653497
8,1359.9776015281677,0.4767247922718525,0.85859375,"tensor(0.2752, device='cuda:0', grad_fn=<DivBackward0>)",0.458960791118443,0.871875,0.8625,0.4732147562582345
9,1340.7592239379883,0.4673279144335538,0.85859375,"tensor(0.2714, device='cuda:0', grad_fn=<DivBackward0>)",0.4532002154737711,0.871875,0.8625,0.5107246376811595
10,1321.8131380081177,0.4576033001067117,0.85859375,"tensor(0.2676, device='cuda:0', grad_fn=<DivBackward0>)",0.44034923799335957,0.871875,0.8625,0.49205533596837947
11,1303.1341948509216,0.4502969754394144,0.85859375,"tensor(0.2639, device='cuda:0', grad_fn=<DivBackward0>)",0.4304056125693023,0.871875,0.8625,0.5455599472990776
12,1284.7142930030823,0.4425341116730124,0.85859375,"tensor(0.2602, device='cuda:0', grad_fn=<DivBackward0>)",0.4212243054062128,0.871875,0.8625,0.4484848484848485
13,1266.5473647117615,0.43684197415132076,0.85859375,"tensor(0.2566, device='cuda:0', grad_fn=<DivBackward0>)",0.4179813526570797,0.871875,0.8625,0.5422793148880105
14,1248.628071308136,0.4292532674735412,0.85859375,"tensor(0.2530, device='cuda:0', grad_fn=<DivBackward0>)",0.41081031830981374,0.871875,0.8625,0.46815546772068517
15,1230.9515314102173,0.42597457068040967,0.85859375,"tensor(0.2494, device='cuda:0', grad_fn=<DivBackward0>)",0.4086077935062349,0.871875,0.8625,0.5264426877470356
16,1213.513433933258,0.42333628493361175,0.85859375,"tensor(0.2460, device='cuda:0', grad_fn=<DivBackward0>)",0.39808577857911587,0.871875,0.8625,0.5240447957839263
17,1196.309058189392,0.4195103755919263,0.85859375,"tensor(0.2425, device='cuda:0', grad_fn=<DivBackward0>)",0.3959315475076437,0.871875,0.8625,0.46918313570487485
18,1179.33398771286,0.4157551263924688,0.85859375,"tensor(0.2391, device='cuda:0', grad_fn=<DivBackward0>)",0.3952927775681019,0.871875,0.8625,0.5240184453227932
19,1162.5844173431396,0.4137978187063709,0.85859375,"tensor(0.2358, device='cuda:0', grad_fn=<DivBackward0>)",0.3927529756911099,0.871875,0.8625,0.49160737812911726
20,1146.0564904212952,0.4124519726028666,0.85859375,"tensor(0.2324, device='cuda:0', grad_fn=<DivBackward0>)",0.39429281977936625,0.871875,0.8625,0.517536231884058
21,1129.7461438179016,0.41086314618587494,0.85859375,"tensor(0.2292, device='cuda:0', grad_fn=<DivBackward0>)",0.3904777346178889,0.871875,0.8625,0.5451646903820817
22,1113.6506071090698,0.40977676189504564,0.85859375,"tensor(0.2260, device='cuda:0', grad_fn=<DivBackward0>)",0.3888723896816373,0.871875,0.8625,0.5068906455862977
23,1097.7674615383148,0.40887380013009533,0.85859375,"tensor(0.2228, device='cuda:0', grad_fn=<DivBackward0>)",0.3868388249538839,0.871875,0.8625,0.5388010540184454
24,1082.09237074852,0.4091073359013535,0.85859375,"tensor(0.2196, device='cuda:0', grad_fn=<DivBackward0>)",0.3874582974240184,0.871875,0.8625,0.4846903820816864
25,1066.6224274635315,0.4090496223070659,0.85859375,"tensor(0.2165, device='cuda:0', grad_fn=<DivBackward0>)",0.38486887235194445,0.871875,0.8625,0.5137088274044797
26,1051.3564829826355,0.40847155154915527,0.85859375,"tensor(0.2135, device='cuda:0', grad_fn=<DivBackward0>)",0.38607379933819175,0.871875,0.8625,0.5310671936758893
27,1036.2909362316132,0.4098083657445386,0.85859375,"tensor(0.2105, device='cuda:0', grad_fn=<DivBackward0>)",0.38583784364163876,0.871875,0.8625,0.5176943346508565
28,1021.4226393699646,0.4082810975960456,0.85859375,"tensor(0.2075, device='cuda:0', grad_fn=<DivBackward0>)",0.38515143236145377,0.871875,0.8625,0.5477602108036891
29,1006.7497889995575,0.4094909223495051,0.85859375,"tensor(0.2045, device='cuda:0', grad_fn=<DivBackward0>)",0.3844565604813397,0.871875,0.8625,0.4908432147562582
30,992.2700119018555,0.4079541616374627,0.85859375,"tensor(0.2016, device='cuda:0', grad_fn=<DivBackward0>)",0.38430381705984473,0.871875,0.8625,0.4750724637681159
31,977.9793572425842,0.4072079759207554,0.85859375,"tensor(0.1988, device='cuda:0', grad_fn=<DivBackward0>)",0.38143444061279297,0.871875,0.8625,0.5322990777338603
32,963.8760812282562,0.4091961293015629,0.85859375,"tensor(0.1959, device='cuda:0', grad_fn=<DivBackward0>)",0.3854787703603506,0.871875,0.8625,0.500711462450593
33,949.9590041637421,0.40802041109418496,0.85859375,"tensor(0.1932, device='cuda:0', grad_fn=<DivBackward0>)",0.3863899032585323,0.871875,0.8625,0.5065349143610014
34,936.2233729362488,0.4073762235348113,0.85859375,"tensor(0.1904, device='cuda:0', grad_fn=<DivBackward0>)",0.3853139099664986,0.871875,0.8625,0.5029644268774703
35,922.6678447723389,0.4069169162539765,0.85859375,"tensor(0.1877, device='cuda:0', grad_fn=<DivBackward0>)",0.3865404976531863,0.871875,0.8625,0.5233465085638999
36,909.2906723022461,0.40722389362053946,0.85859375,"tensor(0.1850, device='cuda:0', grad_fn=<DivBackward0>)",0.3843447216786444,0.871875,0.8625,0.5259420289855072
37,896.0904428958893,0.4082471920992248,0.85859375,"tensor(0.1824, device='cuda:0', grad_fn=<DivBackward0>)",0.38358954759314656,0.871875,0.8625,0.5257575757575758
38,883.0637352466583,0.4079548213048838,0.85859375,"tensor(0.1797, device='cuda:0', grad_fn=<DivBackward0>)",0.3809727090410888,0.871875,0.8625,0.5441501976284585
39,870.2091188430786,0.40715110511519015,0.85859375,"tensor(0.1772, device='cuda:0', grad_fn=<DivBackward0>)",0.3774852631613612,0.871875,0.8625,0.5420289855072464
40,857.5229499340057,0.4066643381956965,0.85859375,"tensor(0.1746, device='cuda:0', grad_fn=<DivBackward0>)",0.38358408445492387,0.871875,0.8625,0.4694729907773386
41,845.0048358440399,0.40848087111953646,0.85859375,"tensor(0.1721, device='cuda:0', grad_fn=<DivBackward0>)",0.38186947302892804,0.871875,0.8625,0.5272595520421608
42,832.6518309116364,0.4079627848113887,0.85859375,"tensor(0.1696, device='cuda:0', grad_fn=<DivBackward0>)",0.38485226035118103,0.871875,0.8625,0.4987878787878788
43,820.4625084400177,0.4085481921210885,0.85859375,"tensor(0.1672, device='cuda:0', grad_fn=<DivBackward0>)",0.3802149756811559,0.871875,0.8625,0.540395256916996
44,808.4358332157135,0.40631240577204153,0.85859375,"tensor(0.1648, device='cuda:0', grad_fn=<DivBackward0>)",0.3828741842880845,0.871875,0.8625,0.5837549407114624
45,796.5662813186646,0.4064161471906118,0.85859375,"tensor(0.1624, device='cuda:0', grad_fn=<DivBackward0>)",0.3829381186515093,0.871875,0.8625,0.5466798418972332
46,784.85498213768,0.4062928564962931,0.85859375,"tensor(0.1600, device='cuda:0', grad_fn=<DivBackward0>)",0.38118664640933275,0.871875,0.8625,0.5323188405797101
47,773.3012092113495,0.4054762559244409,0.85859375,"tensor(0.1577, device='cuda:0', grad_fn=<DivBackward0>)",0.3805019105784595,0.871875,0.8625,0.5077075098814229
48,761.9026815891266,0.4061239067232236,0.85859375,"tensor(0.1554, device='cuda:0', grad_fn=<DivBackward0>)",0.3844715137965977,0.871875,0.8625,0.5327009222661396
49,750.6578798294067,0.40860792668536305,0.85859375,"tensor(0.1531, device='cuda:0', grad_fn=<DivBackward0>)",0.3822475257329643,0.871875,0.8625,0.6125691699604743
50,739.5667989253998,0.4075771731440909,0.85859375,"tensor(0.1509, device='cuda:0', grad_fn=<DivBackward0>)",0.3813237617723644,0.871875,0.8625,0.542266139657444
51,728.6243376731873,0.40617209213087335,0.85859375,"tensor(0.1487, device='cuda:0', grad_fn=<DivBackward0>)",0.3842493421398103,0.871875,0.8625,0.5192226613965745
52,717.828378200531,0.4060536590986885,0.85859375,"tensor(0.1465, device='cuda:0', grad_fn=<DivBackward0>)",0.3823704747483134,0.871875,0.8625,0.51566534914361
53,707.1782505512238,0.40575122024165466,0.85859375,"tensor(0.1444, device='cuda:0', grad_fn=<DivBackward0>)",0.38155098306015134,0.871875,0.8625,0.5712516469038208
54,696.6745958328247,0.4061293217819184,0.85859375,"tensor(0.1423, device='cuda:0', grad_fn=<DivBackward0>)",0.38110447209328413,0.871875,0.8625,0.5413570487483531
55,686.3136110305786,0.4054060952621512,0.85859375,"tensor(0.1402, device='cuda:0', grad_fn=<DivBackward0>)",0.3800356835126877,0.871875,0.8625,0.5348682476943347
56,676.0938401222229,0.40483736601890996,0.85859375,"tensor(0.1381, device='cuda:0', grad_fn=<DivBackward0>)",0.37959872791543603,0.871875,0.8625,0.5723715415019762
57,666.012640953064,0.40407113305991516,0.85859375,"tensor(0.1361, device='cuda:0', grad_fn=<DivBackward0>)",0.3788243280723691,0.871875,0.8625,0.5603557312252965
58,656.07364320755,0.40586130012525246,0.85859375,"tensor(0.1341, device='cuda:0', grad_fn=<DivBackward0>)",0.3825992699712515,0.871875,0.8625,0.6034387351778656
59,646.2711868286133,0.40525419084588066,0.85859375,"tensor(0.1321, device='cuda:0', grad_fn=<DivBackward0>)",0.3843347420915961,0.871875,0.8625,0.5479841897233202
60,636.6037817001343,0.40457449469249696,0.85859375,"tensor(0.1302, device='cuda:0', grad_fn=<DivBackward0>)",0.3810284696519375,0.871875,0.8625,0.6071014492753624
61,627.070384979248,0.40546550910221413,0.85859375,"tensor(0.1283, device='cuda:0', grad_fn=<DivBackward0>)",0.37662244914099574,0.871875,0.8625,0.5834123847167325
62,617.6706869602203,0.4043168892385438,0.85859375,"tensor(0.1264, device='cuda:0', grad_fn=<DivBackward0>)",0.38166402420029044,0.871875,0.8625,0.5749934123847167
63,608.3995501995087,0.40344001562334597,0.85859375,"tensor(0.1245, device='cuda:0', grad_fn=<DivBackward0>)",0.38090874534100294,0.871875,0.8625,0.5491963109354414
64,599.2587933540344,0.40323960362002254,0.85859375,"tensor(0.1227, device='cuda:0', grad_fn=<DivBackward0>)",0.3825195636600256,0.871875,0.8625,0.5405533596837945
65,590.2490403652191,0.4029228300205432,0.85859375,"tensor(0.1208, device='cuda:0', grad_fn=<DivBackward0>)",0.3708069301210344,0.871875,0.8625,0.5977338603425559
66,581.364141702652,0.40091302822111174,0.85859375,"tensor(0.1191, device='cuda:0', grad_fn=<DivBackward0>)",0.3771565849892795,0.871875,0.8625,0.5813438735177866
67,572.6033222675323,0.40285317169036716,0.85859375,"tensor(0.1173, device='cuda:0', grad_fn=<DivBackward0>)",0.3797036437317729,0.871875,0.8625,0.5909222661396576
68,563.9698691368103,0.403307369153481,0.85859375,"tensor(0.1155, device='cuda:0', grad_fn=<DivBackward0>)",0.38110694475471973,0.871875,0.8625,0.5923320158102767
69,555.4601498842239,0.40463104972150177,0.85859375,"tensor(0.1138, device='cuda:0', grad_fn=<DivBackward0>)",0.3810364492237568,0.871875,0.8625,0.5926482213438735
70,547.0713806152344,0.4031968859490007,0.85859375,"tensor(0.1121, device='cuda:0', grad_fn=<DivBackward0>)",0.37837882502935827,0.871875,0.8625,0.5860737812911725
71,538.8022004365921,0.4017670662724413,0.85859375,"tensor(0.1105, device='cuda:0', grad_fn=<DivBackward0>)",0.37487989058718085,0.871875,0.8625,0.6135836627140975
72,530.652111530304,0.3999925531097688,0.85859375,"tensor(0.1088, device='cuda:0', grad_fn=<DivBackward0>)",0.37611572863534093,0.871875,0.8625,0.6008432147562583
73,522.6187732219696,0.4018712938413955,0.85859375,"tensor(0.1072, device='cuda:0', grad_fn=<DivBackward0>)",0.3735908353701234,0.871875,0.8625,0.5767325428194994
74,514.703205704689,0.40095957362791523,0.85859375,"tensor(0.1056, device='cuda:0', grad_fn=<DivBackward0>)",0.37656631972640753,0.871875,0.8625,0.6024374176548088
75,506.9014581441879,0.401266127708368,0.85859375,"tensor(0.1040, device='cuda:0', grad_fn=<DivBackward0>)",0.3763119999784976,0.871875,0.8625,0.5970355731225296
76,499.21631920337677,0.4016107711941004,0.85859375,"tensor(0.1025, device='cuda:0', grad_fn=<DivBackward0>)",0.3728597378358245,0.871875,0.8625,0.6369696969696971
77,491.64279866218567,0.4008238787064329,0.85859375,"tensor(0.1009, device='cuda:0', grad_fn=<DivBackward0>)",0.37801158521324396,0.871875,0.8625,0.626600790513834
78,484.1802569627762,0.39990386203862727,0.85859375,"tensor(0.0994, device='cuda:0', grad_fn=<DivBackward0>)",0.3735239920206368,0.871875,0.8625,0.5796706192358365
79,476.82732009887695,0.3977760444395244,0.85859375,"tensor(0.0979, device='cuda:0', grad_fn=<DivBackward0>)",0.37769920099526644,0.871875,0.8625,0.6048880105401845
80,469.5841771364212,0.4016732312156819,0.85859375,"tensor(0.0965, device='cuda:0', grad_fn=<DivBackward0>)",0.3759147939272225,0.871875,0.8625,0.626060606060606
81,462.4483495950699,0.39877910318318754,0.85859375,"tensor(0.0950, device='cuda:0', grad_fn=<DivBackward0>)",0.3784803682938218,0.871875,0.8625,0.5950329380764163
82,455.41534292697906,0.39606614102376625,0.85859375,"tensor(0.0936, device='cuda:0', grad_fn=<DivBackward0>)",0.36942147370427847,0.871875,0.8625,0.5969828722002635
83,448.48724687099457,0.3973676976165734,0.85859375,"tensor(0.0922, device='cuda:0', grad_fn=<DivBackward0>)",0.37035413715057075,0.871875,0.8625,0.5922266139657444
84,441.66560649871826,0.4006466105929576,0.85859375,"tensor(0.0908, device='cuda:0', grad_fn=<DivBackward0>)",0.37392329424619675,0.871875,0.8625,0.621159420289855
85,434.9465161561966,0.39919907838338986,0.85859375,"tensor(0.0895, device='cuda:0', grad_fn=<DivBackward0>)",0.36712064617313445,0.871875,0.8625,0.6038208168642951
86,428.32850420475006,0.3964429399347864,0.85859375,"tensor(0.0881, device='cuda:0', grad_fn=<DivBackward0>)",0.37055672239512205,0.871875,0.8625,0.6160474308300395
87,421.8076902627945,0.3960272020776756,0.85859375,"tensor(0.0868, device='cuda:0', grad_fn=<DivBackward0>)",0.37278126343153417,0.871875,0.8625,0.5854413702239789
88,415.3854035139084,0.3971298696123995,0.85859375,"tensor(0.0855, device='cuda:0', grad_fn=<DivBackward0>)",0.36650740657933056,0.871875,0.8625,0.6293280632411067
89,409.06331872940063,0.3986381144495681,0.85859375,"tensor(0.0842, device='cuda:0', grad_fn=<DivBackward0>)",0.37078687036409974,0.871875,0.8625,0.612068511198946
90,402.83787298202515,0.3949805037700571,0.85859375,"tensor(0.0829, device='cuda:0', grad_fn=<DivBackward0>)",0.369652152992785,0.871875,0.8625,0.6561264822134387
91,396.7035598754883,0.3937652313616127,0.85859375,"tensor(0.0817, device='cuda:0', grad_fn=<DivBackward0>)",0.3726860338356346,0.871875,0.8625,0.6285902503293809
92,390.6632457971573,0.395597497059498,0.85859375,"tensor(0.0805, device='cuda:0', grad_fn=<DivBackward0>)",0.3663221555761993,0.871875,0.8625,0.6251383399209487
93,384.7181042432785,0.3947460830095224,0.85859375,"tensor(0.0793, device='cuda:0', grad_fn=<DivBackward0>)",0.36858249991200864,0.871875,0.8625,0.614703557312253
94,378.8619507551193,0.39165873505407944,0.85859375,"tensor(0.0781, device='cuda:0', grad_fn=<DivBackward0>)",0.36545860511250794,0.871875,0.8625,0.6605533596837945
95,373.0947803258896,0.39513851585797966,0.85859375,"tensor(0.0769, device='cuda:0', grad_fn=<DivBackward0>)",0.36863449518568814,0.871875,0.8625,0.6768642951251647
96,367.41684341430664,0.3950925477547571,0.85859375,"tensor(0.0758, device='cuda:0', grad_fn=<DivBackward0>)",0.3705426484812051,0.871875,0.8625,0.6368379446640317
97,361.82457542419434,0.3924777861684561,0.85859375,"tensor(0.0746, device='cuda:0', grad_fn=<DivBackward0>)",0.3675382798537612,0.871875,0.8625,0.6210013175230567
98,356.31956481933594,0.3938861037604511,0.85859375,"tensor(0.0735, device='cuda:0', grad_fn=<DivBackward0>)",0.37335810135118663,0.871875,0.8625,0.6590250329380765
99,350.8979250192642,0.38988758716732264,0.85859375,"tensor(0.0724, device='cuda:0', grad_fn=<DivBackward0>)",0.36823179642669857,0.871875,0.8625,0.6466666666666667
100,345.55879414081573,0.39038403204176575,0.85859375,"tensor(0.0713, device='cuda:0', grad_fn=<DivBackward0>)",0.3705956267658621,0.871875,0.8625,0.645961791831357
101,340.3033159971237,0.38938071148004383,0.85859375,"tensor(0.0702, device='cuda:0', grad_fn=<DivBackward0>)",0.366440970916301,0.871875,0.8625,0.6644400527009222
102,335.1305618286133,0.39231569395633414,0.85859375,"tensor(0.0692, device='cuda:0', grad_fn=<DivBackward0>)",0.36467543011531234,0.871875,0.8625,0.6410803689064558
103,330.0334426164627,0.3931767620379105,0.85859375,"tensor(0.0681, device='cuda:0', grad_fn=<DivBackward0>)",0.36524506588466465,0.871875,0.8625,0.6660606060606061
104,325.01736426353455,0.38949036912526935,0.85859375,"tensor(0.0671, device='cuda:0', grad_fn=<DivBackward0>)",0.35851633502170444,0.871875,0.8625,0.6717654808959157
105,320.07656240463257,0.3900470711523667,0.85859375,"tensor(0.0661, device='cuda:0', grad_fn=<DivBackward0>)",0.36183668090961874,0.871875,0.8625,0.6709090909090909
106,315.2111978530884,0.3886254277895205,0.85859375,"tensor(0.0651, device='cuda:0', grad_fn=<DivBackward0>)",0.3611533432267606,0.871875,0.8625,0.6467193675889328
107,310.42215645313263,0.3897282376419753,0.85859375,"tensor(0.0641, device='cuda:0', grad_fn=<DivBackward0>)",0.3577243979088962,0.871875,0.8625,0.6469038208168643
108,305.70449221134186,0.38660308346152306,0.85859375,"tensor(0.0632, device='cuda:0', grad_fn=<DivBackward0>)",0.3588040235918015,0.871875,0.8625,0.6878787878787879
109,301.05804324150085,0.38437170698307455,0.85859375,"tensor(0.0622, device='cuda:0', grad_fn=<DivBackward0>)",0.35541675449348986,0.871875,0.8625,0.6551778656126481
110,296.4849919080734,0.38463283726014197,0.85859375,"tensor(0.0613, device='cuda:0', grad_fn=<DivBackward0>)",0.364459274103865,0.871875,0.8625,0.6564163372859027
111,291.9816554784775,0.38663014385383576,0.85859375,"tensor(0.0604, device='cuda:0', grad_fn=<DivBackward0>)",0.35885420022532344,0.871875,0.8625,0.6797101449275362
112,287.5457363128662,0.38764359342167154,0.85859375,"tensor(0.0595, device='cuda:0', grad_fn=<DivBackward0>)",0.3554119933396578,0.871875,0.8625,0.6440052700922266
113,283.1775166988373,0.38480546441860497,0.85859375,"tensor(0.0586, device='cuda:0', grad_fn=<DivBackward0>)",0.3554622558876872,0.871875,0.8625,0.689683794466403
114,278.87496560811996,0.38004202634328976,0.85859375,"tensor(0.0577, device='cuda:0', grad_fn=<DivBackward0>)",0.35230411984957755,0.871875,0.8625,0.6613965744400526
115,274.63850712776184,0.3821265381993726,0.85859375,"tensor(0.0568, device='cuda:0', grad_fn=<DivBackward0>)",0.35934781073592603,0.871875,0.8625,0.6710408432147562
116,270.46678924560547,0.3821940327761695,0.85859375,"tensor(0.0560, device='cuda:0', grad_fn=<DivBackward0>)",0.353118629893288,0.871875,0.8625,0.669262187088274
117,266.35879266262054,0.38150619133375585,0.85859375,"tensor(0.0551, device='cuda:0', grad_fn=<DivBackward0>)",0.3571194061078131,0.871875,0.8625,0.6741633728590251
118,262.31029695272446,0.3821933085564524,0.85859375,"tensor(0.0543, device='cuda:0', grad_fn=<DivBackward0>)",0.3545389994978905,0.871875,0.8625,0.679064558629776
119,258.32334566116333,0.37984229769790545,0.85859375,"tensor(0.0535, device='cuda:0', grad_fn=<DivBackward0>)",0.35876806429587305,0.871875,0.8625,0.6811594202898551
120,254.396635055542,0.3806302775628865,0.85859375,"tensor(0.0527, device='cuda:0', grad_fn=<DivBackward0>)",0.3516189930960536,0.871875,0.8625,0.6756258234519105
121,250.53070259094238,0.3880856584873982,0.85859375,"tensor(0.0519, device='cuda:0', grad_fn=<DivBackward0>)",0.3502220406662673,0.871875,0.8625,0.6804347826086957
